brand,channel,month,csat_score,nps_score,first_contact_resolution
Sellers,email,2022-05-01,8.26,56.6,0.707
TFS,phone,2022-05-01,6.89,31.9,0.808
TFS,chat,2022-05-01,6.88,27.6,0.774
TFS,email,2022-05-01,7.15,29.7,0.717
Takealot,phone,2022-06-01,7.82,44.4,0.834
Takealot,chat,2022-06-01,7.75,40.8,0.742
Takealot,email,2022-06-01,7.94,44.4,0.719
MrD,phone,2022-06-01,7.39,36.3,0.847
MrD,chat,2022-06-01,7.5,40.4,0.763
MrD,email,2022-06-01,7.53,37.0,0.713
Sellers,phone,2022-06-01,8.33,57.4,0.834
Sellers,chat,2022-06-01,8.29,53.1,0.777
Sellers,email,2022-06-01,8.4,54.6,0.747
TFS,phone,2022-06-01,7.12,31.3,0.838
TFS,chat,2022-06-01,7.2,31.7,0.743
TFS,email,2022-06-01,7.02,33.4,0.717
Takealot,phone,2022-07-01,7.81,42.2,0.824
Takealot,chat,2022-07-01,7.91,45.3,0.746
Takealot,email,2022-07-01,7.71,40.8,0.742
MrD,phone,2022-07-01,7.62,37.4,0.839
MrD,chat,2022-07-01,7.71,40.7,0.773
MrD,email,2022-07-01,7.46,40.2,0.725
Sellers,phone,2022-07-01,8.4,57.0,0.837
Sellers,chat,2022-07-01,8.33,53.7,0.758
Sellers,email,2022-07-01,8.46,58.3,0.708
TFS,phone,2022-07-01,6.93,28.4,0.835
TFS,chat,2022-07-01,7.19,28.9,0.757
TFS,email,2022-07-01,7.2,32.0,0.728
Takealot,phone,2022-08-01,7.88,42.5,0.816
Takealot,chat,2022-08-01,7.87,43.5,0.769
Takealot,email,2022-08-01,7.89,44.0,0.71
MrD,phone,2022-08-01,7.52,35.5,0.814
MrD,chat,2022-08-01,7.63,41.4,0.738
MrD,email,2022-08-01,7.5,40.2,0.712
Sellers,phone,2022-08-01,8.26,56.8,0.829
Sellers,chat,2022-08-01,8.12,54.5,0.765
Sellers,email,2022-08-01,8.26,52.4,0.734
TFS,phone,2022-08-01,6.85,31.9,0.812
TFS,chat,2022-08-01,7.22,29.6,0.747
TFS,email,2022-08-01,6.9,29.2,0.739
Takealot,phone,2022-09-01,8.01,41.4,0.82
Takealot,chat,2022-09-01,7.9,44.5,0.755
Takealot,email,2022-09-01,7.77,41.6,0.729
MrD,phone,2022-09-01,7.32,38.9,0.816
MrD,chat,2022-09-01,7.63,35.7,0.755
MrD,email,2022-09-01,7.51,39.0,0.704
Sellers,phone,2022-09-01,8.25,55.5,0.824
Sellers,chat,2022-09-01,8.26,56.2,0.764
Sellers,email,2022-09-01,8.12,57.1,0.722
TFS,phone,2022-09-01,6.85,27.5,0.815
TFS,chat,2022-09-01,7.13,31.4,0.763
TFS,email,2022-09-01,7.02,29.8,0.707
Takealot,phone,2022-10-01,7.69,41.2,0.8
Takealot,chat,2022-10-01,7.65,42.2,0.755
Takealot,email,2022-10-01,7.96,44.2,0.722
MrD,phone,2022-10-01,7.43,38.4,0.827
MrD,chat,2022-10-01,7.31,37.1,0.76
MrD,email,2022-10-01,7.41,38.0,0.72
Sellers,phone,2022-10-01,8.03,53.8,0.809
Sellers,chat,2022-10-01,7.97,51.7,0.759
Sellers,email,2022-10-01,8.07,54.7,0.708
TFS,phone,2022-10-01,7.14,28.2,0.813
TFS,chat,2022-10-01,7.11,31.7,0.733
TFS,email,2022-10-01,7.08,29.3,0.715
Takealot,phone,2022-11-01,7.33,36.3,0.797
Takealot,chat,2022-11-01,7.48,38.4,0.727
Takealot,email,2022-11-01,7.59,36.8,0.692
MrD,phone,2022-11-01,7.03,36.3,0.794
MrD,chat,2022-11-01,7.36,32.2,0.7
MrD,email,2022-11-01,7.09,33.4,0.678
Sellers,phone,2022-11-01,8.04,50.3,0.779
Sellers,chat,2022-11-01,7.98,51.5,0.729
Sellers,email,2022-11-01,7.71,51.7,0.669
TFS,phone,2022-11-01,6.51,29.2,0.774
TFS,chat,2022-11-01,6.69,26.3,0.712
TFS,email,2022-11-01,6.84,23.9,0.695
Takealot,phone,2022-12-01,7.71,39.6,0.809
Takealot,chat,2022-12-01,7.34,38.7,0.712
Takealot,email,2022-12-01,7.61,42.1,0.682
MrD,phone,2022-12-01,7.28,33.4,0.795
MrD,chat,2022-12-01,7.21,38.0,0.726
MrD,email,2022-12-01,7.16,32.9,0.678
Sellers,phone,2022-12-01,7.81,50.7,0.806
Sellers,chat,2022-12-01,7.94,52.3,0.707
Sellers,email,2022-12-01,8.06,53.5,0.675
TFS,phone,2022-12-01,6.8,27.5,0.775
TFS,chat,2022-12-01,6.7,27.1,0.709
TFS,email,2022-12-01,6.9,29.3,0.699
Takealot,phone,2023-01-01,7.9,42.7,0.838
Takealot,chat,2023-01-01,7.94,40.6,0.763
Takealot,email,2023-01-01,8.04,43.0,0.714
MrD,phone,2023-01-01,7.73,37.4,0.822
MrD,chat,2023-01-01,7.49,38.2,0.772
MrD,email,2023-01-01,7.63,37.4,0.747
Sellers,phone,2023-01-01,8.47,58.4,0.822
Sellers,chat,2023-01-01,8.3,59.1,0.773
Sellers,email,2023-01-01,8.13,53.6,0.731
TFS,phone,2023-01-01,7.28,31.4,0.832
TFS,chat,2023-01-01,6.96,32.1,0.775
TFS,email,2023-01-01,7.07,32.9,0.751
Takealot,phone,2023-02-01,7.78,43.1,0.821
Takealot,chat,2023-02-01,8.01,43.4,0.765
Takealot,email,2023-02-01,8.02,42.3,0.746
MrD,phone,2023-02-01,7.61,36.9,0.837
MrD,chat,2023-02-01,7.71,37.9,0.774
MrD,email,2023-02-01,7.76,37.6,0.749
Sellers,phone,2023-02-01,8.15,54.2,0.817
Sellers,chat,2023-02-01,8.45,56.9,0.746
Sellers,email,2023-02-01,8.27,56.7,0.713
TFS,phone,2023-02-01,7.25,32.8,0.83
TFS,chat,2023-02-01,7.28,30.5,0.779
TFS,email,2023-02-01,7.16,31.8,0.716
Takealot,phone,2023-03-01,8.02,42.2,0.813
Takealot,chat,2023-03-01,7.67,43.0,0.757
Takealot,email,2023-03-01,7.95,45.0,0.71
MrD,phone,2023-03-01,7.66,36.8,0.841
MrD,chat,2023-03-01,7.69,38.9,0.765
MrD,email,2023-03-01,7.49,38.5,0.739
Sellers,phone,2023-03-01,8.25,54.8,0.826
Sellers,chat,2023-03-01,8.4,54.7,0.743
Sellers,email,2023-03-01,8.35,57.6,0.71
TFS,phone,2023-03-01,6.96,28.5,0.82
TFS,chat,2023-03-01,7.04,32.1,0.762
TFS,email,2023-03-01,7.11,29.8,0.74
Takealot,phone,2023-04-01,7.83,45.3,0.829
Takealot,chat,2023-04-01,7.69,43.5,0.747
Takealot,email,2023-04-01,7.91,39.8,0.711
MrD,phone,2023-04-01,7.68,36.8,0.837
MrD,chat,2023-04-01,7.45,39.3,0.762
MrD,email,2023-04-01,7.55,37.2,0.713
Sellers,phone,2023-04-01,8.05,54.2,0.83
Sellers,chat,2023-04-01,8.42,57.6,0.765
Sellers,email,2023-04-01,8.36,56.4,0.714
TFS,phone,2023-04-01,7.2,31.4,0.826
TFS,chat,2023-04-01,6.88,30.1,0.752
TFS,email,2023-04-01,7.19,30.7,0.719
Takealot,phone,2023-05-01,8.05,40.2,0.823
Takealot,chat,2023-05-01,7.67,44.0,0.772
Takealot,email,2023-05-01,7.77,44.7,0.717
MrD,phone,2023-05-01,7.72,40.1,0.838
MrD,chat,2023-05-01,7.36,41.3,0.765
MrD,email,2023-05-01,7.48,40.5,0.717
Sellers,phone,2023-05-01,8.41,53.2,0.834
Sellers,chat,2023-05-01,8.27,53.1,0.745
Sellers,email,2023-05-01,8.06,55.4,0.718
TFS,phone,2023-05-01,7.1,29.3,0.818
TFS,chat,2023-05-01,7.15,27.8,0.772
TFS,email,2023-05-01,7.2,31.6,0.729
Takealot,phone,2023-06-01,8.04,40.9,0.811
Takealot,chat,2023-06-01,7.78,44.6,0.739
Takealot,email,2023-06-01,7.91,45.8,0.742
MrD,phone,2023-06-01,7.59,36.2,0.841
MrD,chat,2023-06-01,7.62,36.5,0.742
MrD,email,2023-06-01,7.74,39.8,0.741
Sellers,phone,2023-06-01,8.43,56.2,0.829
Sellers,chat,2023-06-01,8.25,54.7,0.755
Sellers,email,2023-06-01,8.39,56.4,0.744
TFS,phone,2023-06-01,7.06,31.4,0.833
TFS,chat,2023-06-01,7.12,32.0,0.747
TFS,email,2023-06-01,7.08,28.4,0.723
Takealot,phone,2023-07-01,7.86,43.6,0.844
Takealot,chat,2023-07-01,7.9,44.1,0.757
Takealot,email,2023-07-01,7.92,40.1,0.717
MrD,phone,2023-07-01,7.51,38.5,0.808
MrD,chat,2023-07-01,7.42,37.3,0.775
MrD,email,2023-07-01,7.5,38.5,0.714
Sellers,phone,2023-07-01,8.31,54.3,0.815
Sellers,chat,2023-07-01,8.27,52.7,0.737
Sellers,email,2023-07-01,8.15,52.9,0.711
TFS,phone,2023-07-01,7.0,32.5,0.829
TFS,chat,2023-07-01,7.07,29.4,0.774
TFS,email,2023-07-01,7.02,28.2,0.731
Takealot,phone,2023-08-01,7.69,41.5,0.824
Takealot,chat,2023-08-01,7.99,42.4,0.762
Takealot,email,2023-08-01,8.04,40.2,0.715
MrD,phone,2023-08-01,7.5,37.9,0.82
MrD,chat,2023-08-01,7.7,39.7,0.758
MrD,email,2023-08-01,7.46,40.3,0.742
Sellers,phone,2023-08-01,8.37,52.4,0.829
Sellers,chat,2023-08-01,8.06,53.9,0.736
Sellers,email,2023-08-01,8.28,56.5,0.709
TFS,phone,2023-08-01,6.99,30.1,0.819
TFS,chat,2023-08-01,6.89,29.9,0.764
TFS,email,2023-08-01,6.87,27.9,0.718
Takealot,phone,2023-09-01,7.99,43.2,0.829
Takealot,chat,2023-09-01,7.76,42.7,0.732
Takealot,email,2023-09-01,7.87,44.6,0.726
MrD,phone,2023-09-01,7.67,39.5,0.806
MrD,chat,2023-09-01,7.68,35.6,0.753
MrD,email,2023-09-01,7.37,35.2,0.718
Sellers,phone,2023-09-01,8.13,55.1,0.825
Sellers,chat,2023-09-01,8.03,52.9,0.754
Sellers,email,2023-09-01,8.15,56.5,0.728
TFS,phone,2023-09-01,7.15,31.3,0.819
TFS,chat,2023-09-01,7.09,28.8,0.744
TFS,email,2023-09-01,7.13,29.8,0.734
Takealot,phone,2023-10-01,7.89,43.7,0.833
Takealot,chat,2023-10-01,7.73,40.5,0.749
Takealot,email,2023-10-01,7.71,42.2,0.724
MrD,phone,2023-10-01,7.54,36.8,0.803
MrD,chat,2023-10-01,7.43,35.5,0.762
MrD,email,2023-10-01,7.4,35.5,0.697
Sellers,phone,2023-10-01,8.22,55.4,0.81
Sellers,chat,2023-10-01,7.99,54.1,0.738
Sellers,email,2023-10-01,8.23,55.2,0.711
TFS,phone,2023-10-01,6.85,32.5,0.814
TFS,chat,2023-10-01,7.04,27.4,0.745
TFS,email,2023-10-01,6.77,29.6,0.735
Takealot,phone,2023-11-01,7.43,36.0,0.769
Takealot,chat,2023-11-01,7.44,36.8,0.699
Takealot,email,2023-11-01,7.58,38.6,0.68
MrD,phone,2023-11-01,7.34,32.5,0.806
MrD,chat,2023-11-01,7.11,37.1,0.722
MrD,email,2023-11-01,7.31,37.7,0.68
Sellers,phone,2023-11-01,8.06,51.1,0.783
Sellers,chat,2023-11-01,7.82,52.0,0.704
Sellers,email,2023-11-01,7.9,52.1,0.698
TFS,phone,2023-11-01,6.81,26.4,0.78
TFS,chat,2023-11-01,6.58,25.0,0.7
TFS,email,2023-11-01,6.62,25.4,0.707
Takealot,phone,2023-12-01,7.54,38.3,0.795
Takealot,chat,2023-12-01,7.38,38.9,0.727
Takealot,email,2023-12-01,7.52,38.6,0.712
MrD,phone,2023-12-01,7.37,35.9,0.795
MrD,chat,2023-12-01,7.27,33.4,0.718
MrD,email,2023-12-01,7.04,35.1,0.694
Sellers,phone,2023-12-01,7.81,55.0,0.808
Sellers,chat,2023-12-01,8.01,52.4,0.737
Sellers,email,2023-12-01,7.77,53.9,0.677
TFS,phone,2023-12-01,6.84,25.9,0.807
TFS,chat,2023-12-01,6.9,25.1,0.721
TFS,email,2023-12-01,6.91,27.1,0.707
