brand,channel,month,contact_volume,resolution_rate,black_friday_flag
MrD,phone,2023-03-01,1409,0.859,0
MrD,chat,2023-03-01,1261,0.797,0
MrD,email,2023-03-01,780,0.814,0
Sellers,phone,2023-03-01,410,0.867,0
Sellers,chat,2023-03-01,364,0.806,0
Sellers,email,2023-03-01,223,0.819,0
TFS,phone,2023-03-01,796,0.868,0
TFS,chat,2023-03-01,693,0.795,0
TFS,email,2023-03-01,459,0.835,0
Takealot,phone,2023-04-01,2106,0.863,0
Takealot,chat,2023-04-01,1914,0.789,0
Takealot,email,2023-04-01,1193,0.823,0
MrD,phone,2023-04-01,1559,0.874,0
MrD,chat,2023-04-01,1304,0.77,0
MrD,email,2023-04-01,768,0.808,0
Sellers,phone,2023-04-01,408,0.865,0
Sellers,chat,2023-04-01,367,0.78,0
Sellers,email,2023-04-01,236,0.808,0
TFS,phone,2023-04-01,878,0.849,0
TFS,chat,2023-04-01,739,0.795,0
TFS,email,2023-04-01,463,0.843,0
Takealot,phone,2023-05-01,2115,0.873,0
Takealot,chat,2023-05-01,1881,0.778,0
Takealot,email,2023-05-01,1153,0.843,0
MrD,phone,2023-05-01,1517,0.857,0
MrD,chat,2023-05-01,1329,0.802,0
MrD,email,2023-05-01,775,0.848,0
Sellers,phone,2023-05-01,428,0.858,0
Sellers,chat,2023-05-01,394,0.801,0
Sellers,email,2023-05-01,216,0.847,0
TFS,phone,2023-05-01,827,0.874,0
TFS,chat,2023-05-01,755,0.806,0
TFS,email,2023-05-01,445,0.811,0
Takealot,phone,2023-06-01,2061,0.849,0
Takealot,chat,2023-06-01,1867,0.813,0
Takealot,email,2023-06-01,1144,0.838,0
MrD,phone,2023-06-01,1405,0.863,0
MrD,chat,2023-06-01,1303,0.788,0
MrD,email,2023-06-01,779,0.845,0
Sellers,phone,2023-06-01,407,0.877,0
Sellers,chat,2023-06-01,364,0.795,0
Sellers,email,2023-06-01,209,0.837,0
TFS,phone,2023-06-01,787,0.881,0
TFS,chat,2023-06-01,749,0.78,0
TFS,email,2023-06-01,422,0.845,0
Takealot,phone,2023-07-01,2029,0.846,0
Takealot,chat,2023-07-01,1903,0.8,0
Takealot,email,2023-07-01,1077,0.845,0
MrD,phone,2023-07-01,1433,0.845,0
MrD,chat,2023-07-01,1332,0.811,0
MrD,email,2023-07-01,778,0.827,0
Sellers,phone,2023-07-01,413,0.88,0
Sellers,chat,2023-07-01,416,0.802,0
Sellers,email,2023-07-01,222,0.815,0
TFS,phone,2023-07-01,824,0.864,0
TFS,chat,2023-07-01,788,0.808,0
TFS,email,2023-07-01,432,0.832,0
Takealot,phone,2023-08-01,1950,0.856,0
Takealot,chat,2023-08-01,2000,0.772,0
Takealot,email,2023-08-01,1124,0.833,0
MrD,phone,2023-08-01,1471,0.861,0
MrD,chat,2023-08-01,1533,0.782,0
MrD,email,2023-08-01,800,0.842,0
Sellers,phone,2023-08-01,398,0.876,0
Sellers,chat,2023-08-01,398,0.806,0
Sellers,email,2023-08-01,223,0.843,0
TFS,phone,2023-08-01,822,0.877,0
TFS,chat,2023-08-01,801,0.79,0
TFS,email,2023-08-01,489,0.828,0
Takealot,phone,2023-09-01,2121,0.861,0
Takealot,chat,2023-09-01,2194,0.788,0
Takealot,email,2023-09-01,1222,0.839,0
MrD,phone,2023-09-01,1399,0.844,0
MrD,chat,2023-09-01,1613,0.799,0
MrD,email,2023-09-01,845,0.828,0
Sellers,phone,2023-09-01,409,0.841,0
Sellers,chat,2023-09-01,439,0.777,0
Sellers,email,2023-09-01,244,0.806,0
TFS,phone,2023-09-01,877,0.872,0
TFS,chat,2023-09-01,899,0.784,0
TFS,email,2023-09-01,475,0.836,0
Takealot,phone,2023-10-01,2262,0.829,0
Takealot,chat,2023-10-01,2510,0.785,0
Takealot,email,2023-10-01,1365,0.822,0
MrD,phone,2023-10-01,1572,0.839,0
MrD,chat,2023-10-01,1760,0.787,0
MrD,email,2023-10-01,873,0.794,0
Sellers,phone,2023-10-01,438,0.855,0
Sellers,chat,2023-10-01,505,0.759,0
Sellers,email,2023-10-01,263,0.808,0
TFS,phone,2023-10-01,930,0.856,0
TFS,chat,2023-10-01,997,0.771,0
TFS,email,2023-10-01,518,0.803,0
Takealot,phone,2023-11-01,2800,0.805,1
Takealot,chat,2023-11-01,3383,0.74,1
Takealot,email,2023-11-01,1838,0.762,1
MrD,phone,2023-11-01,2106,0.808,1
MrD,chat,2023-11-01,2376,0.71,1
MrD,email,2023-11-01,1220,0.745,1
Sellers,phone,2023-11-01,612,0.794,1
Sellers,chat,2023-11-01,638,0.727,1
Sellers,email,2023-11-01,354,0.754,1
TFS,phone,2023-11-01,1126,0.797,1
TFS,chat,2023-11-01,1314,0.731,1
TFS,email,2023-11-01,702,0.774,1
Takealot,phone,2023-12-01,2809,0.8,0
Takealot,chat,2023-12-01,3348,0.724,0
Takealot,email,2023-12-01,1636,0.749,0
MrD,phone,2023-12-01,2006,0.802,0
MrD,chat,2023-12-01,2305,0.716,0
MrD,email,2023-12-01,1145,0.748,0
Sellers,phone,2023-12-01,550,0.801,0
Sellers,chat,2023-12-01,638,0.725,0
Sellers,email,2023-12-01,353,0.761,0
TFS,phone,2023-12-01,1119,0.809,0
TFS,chat,2023-12-01,1277,0.732,0
TFS,email,2023-12-01,704,0.785,0
