brand,channel,month,agent_hours,cost_per_hour,actual_cost,budget_cost,shared_service_allocation
Takealot,email,2022-07-01,200.4,152.25,30510.9,26413.61,86939.6
MrD,phone,2022-07-01,215.1,284.2,61131.42,56234.21,59608.96
MrD,chat,2022-07-01,101.8,203.0,20665.4,18788.71,61796.5
MrD,email,2022-07-01,154.0,152.25,23446.5,21434.21,60541.38
Sellers,phone,2022-07-01,60.0,284.2,17052.0,15056.67,26043.28
Sellers,chat,2022-07-01,29.3,203.0,5947.9,5406.61,24865.01
Sellers,email,2022-07-01,41.4,152.25,6303.15,5623.23,25932.36
TFS,phone,2022-07-01,119.6,284.2,33990.32,32029.15,40635.13
TFS,chat,2022-07-01,57.8,203.0,11733.4,11040.52,38998.67
TFS,email,2022-07-01,82.4,152.25,12545.4,11266.75,41950.67
Takealot,phone,2022-08-01,288.8,284.9,82279.12,75669.44,86747.39
Takealot,chat,2022-08-01,162.4,203.5,33048.4,30581.94,85577.53
Takealot,email,2022-08-01,218.4,152.62,33333.3,30590.24,86678.07
MrD,phone,2022-08-01,214.9,284.9,61225.01,56168.58,62826.35
MrD,chat,2022-08-01,113.8,203.5,23158.3,21776.7,62172.26
MrD,email,2022-08-01,159.2,152.62,24297.9,22512.39,61973.49
Sellers,phone,2022-08-01,59.5,284.9,16951.55,14990.29,24325.02
Sellers,chat,2022-08-01,33.2,203.5,6756.2,5862.06,25490.72
Sellers,email,2022-08-01,42.4,152.62,6471.3,5900.57,23913.39
TFS,phone,2022-08-01,124.9,284.9,35584.01,32064.77,41162.89
TFS,chat,2022-08-01,64.0,203.5,13024.0,11781.91,41543.91
TFS,email,2022-08-01,83.6,152.62,12759.45,11565.6,38097.6
Takealot,phone,2022-09-01,322.4,285.6,92077.44,84149.03,88184.96
Takealot,chat,2022-09-01,166.0,204.0,33864.0,31625.36,87539.66
Takealot,email,2022-09-01,231.4,153.0,35404.2,33218.59,87271.1
MrD,phone,2022-09-01,225.3,285.6,64345.68,58165.9,60765.03
MrD,chat,2022-09-01,119.8,204.0,24439.2,23461.71,61609.64
MrD,email,2022-09-01,153.0,153.0,23409.0,21127.13,61425.49
Sellers,phone,2022-09-01,62.7,285.6,17907.12,15664.32,24636.56
Sellers,chat,2022-09-01,32.4,204.0,6609.6,5865.31,24334.02
Sellers,email,2022-09-01,43.0,153.0,6579.0,5644.89,26219.31
TFS,phone,2022-09-01,124.5,285.6,35557.2,32054.39,40718.59
TFS,chat,2022-09-01,68.5,204.0,13974.0,12758.8,41145.38
TFS,email,2022-09-01,92.4,153.0,14137.2,12433.17,41516.47
Takealot,phone,2022-10-01,324.0,286.3,92761.2,87225.54,85964.0
Takealot,chat,2022-10-01,187.9,204.5,38425.55,35015.38,82719.21
Takealot,email,2022-10-01,247.8,153.38,38006.33,36074.76,85915.76
MrD,phone,2022-10-01,221.3,286.3,63358.19,57011.95,58059.17
MrD,chat,2022-10-01,126.6,204.5,25889.7,22737.42,61677.51
MrD,email,2022-10-01,178.8,153.38,27423.45,24158.57,62814.62
Sellers,phone,2022-10-01,68.5,286.3,19611.55,18799.01,26237.27
Sellers,chat,2022-10-01,38.1,204.5,7791.45,6901.76,25645.6
Sellers,email,2022-10-01,49.0,153.38,7515.38,6830.22,25789.58
TFS,phone,2022-10-01,127.9,286.3,36617.77,32224.63,40147.9
TFS,chat,2022-10-01,72.4,204.5,14805.8,13654.08,38365.95
TFS,email,2022-10-01,99.0,153.38,15184.12,14065.14,38518.06
Takealot,phone,2022-11-01,455.5,287.0,130728.5,125513.17,88078.08
Takealot,chat,2022-11-01,263.3,205.0,53976.5,50749.34,85432.29
Takealot,email,2022-11-01,311.2,153.75,47847.0,42075.1,83917.85
MrD,phone,2022-11-01,303.2,287.0,87018.4,78795.85,59975.25
MrD,chat,2022-11-01,185.2,205.0,37966.0,33038.05,61099.55
MrD,email,2022-11-01,224.2,153.75,34470.75,30979.05,59970.88
Sellers,phone,2022-11-01,90.3,287.0,25916.1,23701.03,25811.7
Sellers,chat,2022-11-01,48.9,205.0,10024.5,9116.82,25164.33
Sellers,email,2022-11-01,68.2,153.75,10485.75,9581.62,25743.57
TFS,phone,2022-11-01,175.7,287.0,50425.9,47371.53,41469.18
TFS,chat,2022-11-01,102.3,205.0,20971.5,19743.28,40789.89
TFS,email,2022-11-01,126.0,153.75,19372.5,18007.68,41010.87
Takealot,phone,2022-12-01,433.2,287.7,124631.64,112878.8,88160.67
Takealot,chat,2022-12-01,254.5,205.5,52299.75,46771.88,81845.39
Takealot,email,2022-12-01,312.8,154.12,48210.3,43955.68,82116.46
MrD,phone,2022-12-01,301.2,287.7,86655.24,82247.74,60044.81
MrD,chat,2022-12-01,181.1,205.5,37216.05,32322.23,60701.56
MrD,email,2022-12-01,222.4,154.12,34277.4,32587.36,58558.82
Sellers,phone,2022-12-01,85.9,287.7,24713.43,22795.81,25699.61
Sellers,chat,2022-12-01,50.9,205.5,10459.95,9380.66,25103.17
Sellers,email,2022-12-01,65.8,154.12,10141.42,9494.7,25331.55
TFS,phone,2022-12-01,164.8,287.7,47412.96,43719.03,41748.91
TFS,chat,2022-12-01,100.6,205.5,20673.3,18690.96,39203.85
TFS,email,2022-12-01,126.4,154.12,19481.4,17632.53,40328.68
Takealot,phone,2023-01-01,255.1,288.4,73570.84,66687.45,81138.81
Takealot,chat,2023-01-01,153.2,206.0,31559.2,30283.01,88985.46
Takealot,email,2023-01-01,207.4,154.5,32043.3,29186.53,87195.24
MrD,phone,2023-01-01,175.6,288.4,50643.04,43421.54,58941.66
MrD,chat,2023-01-01,115.6,206.0,23813.6,21992.6,61099.77
MrD,email,2023-01-01,142.4,154.5,22000.8,19742.65,62982.75
Sellers,phone,2023-01-01,49.7,288.4,14333.48,12958.59,24159.06
Sellers,chat,2023-01-01,32.2,206.0,6633.2,6247.62,24301.92
Sellers,email,2023-01-01,41.0,154.5,6334.5,5640.38,25386.28
TFS,phone,2023-01-01,104.4,288.4,30108.96,27618.38,38604.23
TFS,chat,2023-01-01,66.2,206.0,13637.2,12653.83,39678.91
TFS,email,2023-01-01,79.8,154.5,12329.1,11298.42,39096.86
Takealot,phone,2023-02-01,254.9,289.1,73691.59,69298.79,88349.84
Takealot,chat,2023-02-01,176.0,206.5,36344.0,31978.1,81014.64
Takealot,email,2023-02-01,207.4,154.88,32121.08,29412.06,88097.05
MrD,phone,2023-02-01,180.9,289.1,52298.19,48722.47,58113.15
MrD,chat,2023-02-01,119.8,206.5,24738.7,23502.66,61625.53
MrD,email,2023-02-01,148.8,154.88,23045.4,21836.59,60757.32
Sellers,phone,2023-02-01,55.9,289.1,16160.69,13975.85,26052.12
Sellers,chat,2023-02-01,34.2,206.5,7062.3,6602.1,24953.81
Sellers,email,2023-02-01,41.4,154.88,6411.82,5568.58,25463.91
TFS,phone,2023-02-01,105.5,289.1,30500.05,27227.03,39966.38
TFS,chat,2023-02-01,64.8,206.5,13381.2,11847.97,39075.97
TFS,email,2023-02-01,79.8,154.88,12359.02,11409.49,39820.88
Takealot,phone,2023-03-01,287.3,289.8,83259.54,71521.9,84086.2
Takealot,chat,2023-03-01,181.6,207.0,37591.2,34384.81,83229.13
Takealot,email,2023-03-01,219.8,155.25,34123.95,32143.24,87378.73
MrD,phone,2023-03-01,187.9,289.8,54453.42,47873.42,57629.58
MrD,chat,2023-03-01,126.1,207.0,26102.7,23913.24,57854.97
MrD,email,2023-03-01,156.0,155.25,24219.0,22203.29,61214.79
Sellers,phone,2023-03-01,54.7,289.8,15852.06,14130.67,24566.15
Sellers,chat,2023-03-01,36.4,207.0,7534.8,6736.78,24626.57
Sellers,email,2023-03-01,44.6,155.25,6924.15,5953.52,24742.31
TFS,phone,2023-03-01,106.1,289.8,30747.78,27361.0,40757.86
TFS,chat,2023-03-01,69.3,207.0,14345.1,13175.24,38669.93
TFS,email,2023-03-01,91.8,155.25,14251.95,12697.23,40825.9
Takealot,phone,2023-04-01,280.8,290.5,81572.4,73348.96,81191.76
Takealot,chat,2023-04-01,191.4,207.5,39715.5,36704.43,88153.24
Takealot,email,2023-04-01,238.6,155.62,37132.12,34930.43,83635.33
MrD,phone,2023-04-01,207.9,290.5,60394.95,55122.88,62368.9
MrD,chat,2023-04-01,130.4,207.5,27058.0,25165.99,59713.91
MrD,email,2023-04-01,153.6,155.62,23904.0,22061.66,61389.54
Sellers,phone,2023-04-01,54.4,290.5,15803.2,13648.78,24367.76
Sellers,chat,2023-04-01,36.7,207.5,7615.25,6886.07,24298.03
Sellers,email,2023-04-01,47.2,155.62,7345.5,6876.26,24205.29
TFS,phone,2023-04-01,117.1,290.5,34017.55,31923.68,39992.78
TFS,chat,2023-04-01,73.9,207.5,15334.25,14198.32,38913.82
TFS,email,2023-04-01,92.6,155.62,14410.88,13957.51,40601.3
Takealot,phone,2023-05-01,282.0,291.2,82118.4,73842.42,81363.69
Takealot,chat,2023-05-01,188.1,208.0,39124.8,33987.5,84682.3
Takealot,email,2023-05-01,230.6,156.0,35973.6,34098.02,87063.01
MrD,phone,2023-05-01,202.3,291.2,58909.76,52983.41,59226.23
MrD,chat,2023-05-01,132.9,208.0,27643.2,25504.61,62202.19
MrD,email,2023-05-01,155.0,156.0,24180.0,22106.37,61351.55
Sellers,phone,2023-05-01,57.1,291.2,16627.52,15422.73,26001.75
Sellers,chat,2023-05-01,39.4,208.0,8195.2,7337.53,25230.88
Sellers,email,2023-05-01,43.2,156.0,6739.2,6233.48,25307.42
TFS,phone,2023-05-01,110.3,291.2,32119.36,29909.4,38526.27
TFS,chat,2023-05-01,75.5,208.0,15704.0,14845.77,38718.73
TFS,email,2023-05-01,89.0,156.0,13884.0,12711.39,38723.91
Takealot,phone,2023-06-01,274.8,291.9,80214.12,75048.41,82851.46
Takealot,chat,2023-06-01,186.7,208.5,38926.95,36367.48,85125.95
Takealot,email,2023-06-01,228.8,156.38,35778.6,32430.83,82139.95
MrD,phone,2023-06-01,187.3,291.9,54672.87,50625.49,58548.8
MrD,chat,2023-06-01,130.3,208.5,27167.55,24840.65,61640.84
MrD,email,2023-06-01,155.8,156.38,24363.22,22109.29,59722.74
Sellers,phone,2023-06-01,54.3,291.9,15850.17,13835.37,24174.39
Sellers,chat,2023-06-01,36.4,208.5,7589.4,6874.16,25822.21
Sellers,email,2023-06-01,41.8,156.38,6536.48,5854.48,25292.86
TFS,phone,2023-06-01,104.9,291.9,30620.31,27862.4,38670.48
TFS,chat,2023-06-01,74.9,208.5,15616.65,13908.83,40655.22
TFS,email,2023-06-01,84.4,156.38,13198.05,12226.34,41222.68
Takealot,phone,2023-07-01,270.5,292.6,79148.3,74005.3,82499.65
Takealot,chat,2023-07-01,190.3,209.0,39772.7,34796.54,81235.24
Takealot,email,2023-07-01,215.4,156.75,33763.95,31547.51,81084.42
MrD,phone,2023-07-01,191.1,292.6,55915.86,49404.07,62603.25
MrD,chat,2023-07-01,133.2,209.0,27838.8,25032.85,57249.44
MrD,email,2023-07-01,155.6,156.75,24390.3,22196.63,62790.71
Sellers,phone,2023-07-01,55.1,292.6,16122.26,14477.99,25347.8
Sellers,chat,2023-07-01,41.6,209.0,8694.4,8132.08,25038.99
Sellers,email,2023-07-01,44.4,156.75,6959.7,6396.77,24099.13
TFS,phone,2023-07-01,109.9,292.6,32156.74,27993.27,40818.72
TFS,chat,2023-07-01,78.8,209.0,16469.2,14802.29,41879.65
TFS,email,2023-07-01,86.4,156.75,13543.2,12072.61,39775.0
Takealot,phone,2023-08-01,260.0,293.3,76258.0,70251.98,86637.32
Takealot,chat,2023-08-01,200.0,209.5,41900.0,40049.93,86557.61
Takealot,email,2023-08-01,224.8,157.13,35321.7,32381.18,88135.69
MrD,phone,2023-08-01,196.1,293.3,57516.13,51462.47,62585.69
MrD,chat,2023-08-01,153.3,209.5,32116.35,29968.61,58294.05
MrD,email,2023-08-01,160.0,157.13,25140.0,23067.77,60907.4
Sellers,phone,2023-08-01,53.1,293.3,15574.23,13895.21,26248.53
Sellers,chat,2023-08-01,39.8,209.5,8338.1,7533.39,24767.27
Sellers,email,2023-08-01,44.6,157.13,7007.78,6667.32,25167.54
TFS,phone,2023-08-01,109.6,293.3,32145.68,30405.37,39616.56
TFS,chat,2023-08-01,80.1,209.5,16780.95,15224.73,41231.38
TFS,email,2023-08-01,97.8,157.13,15366.83,14496.01,39742.33
Takealot,phone,2023-09-01,282.8,294.0,83143.2,76084.86,85378.16
Takealot,chat,2023-09-01,219.4,210.0,46074.0,40074.36,83864.92
Takealot,email,2023-09-01,244.4,157.5,38493.0,35161.58,84052.74
MrD,phone,2023-09-01,186.5,294.0,54831.0,49120.95,59239.51
MrD,chat,2023-09-01,161.3,210.0,33873.0,29579.67,60620.69
MrD,email,2023-09-01,169.0,157.5,26617.5,24720.56,59780.96
Sellers,phone,2023-09-01,54.5,294.0,16023.0,14745.55,25047.7
Sellers,chat,2023-09-01,43.9,210.0,9219.0,8190.54,24603.12
Sellers,email,2023-09-01,48.8,157.5,7686.0,6905.01,25200.43
TFS,phone,2023-09-01,116.9,294.0,34368.6,31590.69,41059.53
TFS,chat,2023-09-01,89.9,210.0,18879.0,17805.47,41822.09
TFS,email,2023-09-01,95.0,157.5,14962.5,12939.87,38030.25
Takealot,phone,2023-10-01,301.6,294.7,88881.52,83590.6,82819.6
Takealot,chat,2023-10-01,251.0,210.5,52835.5,48587.58,88692.71
Takealot,email,2023-10-01,273.0,157.88,43099.88,38057.34,84879.91
MrD,phone,2023-10-01,209.6,294.7,61769.12,54672.88,58843.74
MrD,chat,2023-10-01,176.0,210.5,37048.0,34610.84,58867.85
MrD,email,2023-10-01,174.6,157.88,27564.98,25617.42,58635.74
Sellers,phone,2023-10-01,58.4,294.7,17210.48,15299.62,24202.87
Sellers,chat,2023-10-01,50.5,210.5,10630.25,9670.27,25062.91
Sellers,email,2023-10-01,52.6,157.88,8304.22,7541.25,25168.28
TFS,phone,2023-10-01,124.0,294.7,36542.8,33474.69,39934.18
TFS,chat,2023-10-01,99.7,210.5,20986.85,19630.09,38173.65
TFS,email,2023-10-01,103.6,157.88,16355.85,15402.66,40406.45
Takealot,phone,2023-11-01,373.3,295.4,110272.82,104964.71,82688.68
Takealot,chat,2023-11-01,338.3,211.0,71381.3,64034.27,84243.74
Takealot,email,2023-11-01,367.6,158.25,58172.7,55504.27,83754.08
MrD,phone,2023-11-01,280.8,295.4,82948.32,75201.56,58648.84
MrD,chat,2023-11-01,237.6,211.0,50133.6,46619.4,61005.3
MrD,email,2023-11-01,244.0,158.25,38613.0,34346.56,59710.61
Sellers,phone,2023-11-01,81.6,295.4,24104.64,21742.97,25592.18
Sellers,chat,2023-11-01,63.8,211.0,13461.8,12427.75,23989.29
Sellers,email,2023-11-01,70.8,158.25,11204.1,9915.61,25267.74
TFS,phone,2023-11-01,150.1,295.4,44339.54,40023.47,39563.62
TFS,chat,2023-11-01,131.4,211.0,27725.4,25443.96,41951.14
TFS,email,2023-11-01,140.4,158.25,22218.3,19900.49,39617.28
Takealot,phone,2023-12-01,374.5,296.1,110889.45,101675.4,86635.71
Takealot,chat,2023-12-01,334.8,211.5,70810.2,65660.99,81634.93
Takealot,email,2023-12-01,327.2,158.63,51902.1,48307.94,83080.37
MrD,phone,2023-12-01,267.5,296.1,79206.75,68436.8,62365.15
MrD,chat,2023-12-01,230.5,211.5,48750.75,43014.55,58359.94
MrD,email,2023-12-01,229.0,158.63,36325.13,32033.56,60114.36
Sellers,phone,2023-12-01,73.3,296.1,21704.13,19435.47,24334.28
Sellers,chat,2023-12-01,63.8,211.5,13493.7,12571.86,25377.19
Sellers,email,2023-12-01,70.6,158.63,11198.92,10146.22,24582.5
TFS,phone,2023-12-01,149.2,296.1,44178.12,41826.67,40647.36
TFS,chat,2023-12-01,127.7,211.5,27008.55,25017.33,39860.82
TFS,email,2023-12-01,140.8,158.63,22334.4,19751.04,41830.5
