brand,month,contact_volume,total_volume,volume_weight,channel_adjusted_weight,shared_pool,volume_allocated_cost,channel_allocated_cost,allocation_difference
MrD,2023-12-01,5456,17890,0.30497484628283955,0.30607188973304106,628823.11,191775.23,192465.08,689.85
Sellers,2022-01-01,852,9645,0.08833592534992224,0.08898965318020274,635918.6799999999,56174.47,56590.18,415.71
Sellers,2022-02-01,872,10077,0.08653369058251464,0.08661536520751861,637899.84,55199.83,55251.93,52.1
Sellers,2022-03-01,929,10723,0.08663620255525506,0.08666328520027264,622336.11,53916.84,53933.69,16.85
Sellers,2022-04-01,973,11066,0.0879269835532261,0.08792434416897088,624561.6,54915.82,54914.17,-1.65
Sellers,2022-05-01,942,10885,0.08654111162149747,0.08593382836732776,631351.81,54637.89,54254.48,-383.41
Sellers,2022-06-01,923,10686,0.08637469586374696,0.08540950801635959,627204.64,54174.61,53569.24,-605.37
Sellers,2022-07-01,950,10930,0.08691674290942361,0.08711068669427116,639583.42,55590.51,55714.55,124.04
Sellers,2022-08-01,990,11413,0.08674318759309559,0.08682514862404726,640508.62,55559.76,55612.26,52.5
Sellers,2022-09-01,1009,11978,0.08423776924361329,0.08452591674250948,645366.21,54364.21,54550.17,185.96
Sellers,2022-10-01,1140,12686,0.08986284092700615,0.09061592813715287,631854.63,56780.25,57256.09,475.84
Sellers,2022-11-01,1507,17330,0.08695903058280438,0.08682096413505262,638463.4400000001,55520.16,55432.01,-88.15
Sellers,2022-12-01,1482,16896,0.08771306818181818,0.08745621547882187,628843.48,55157.79,54996.27,-161.52
Sellers,2023-01-01,900,10411,0.08644702718278743,0.08614820853749758,631570.95,54597.43,54408.71,-188.72
Sellers,2023-02-01,968,10814,0.08951359348992047,0.09040802762332421,633290.6,56688.12,57254.55,566.43
Sellers,2023-03-01,997,11465,0.08696031399912778,0.08677006811041377,625582.12,54400.82,54281.8,-119.02
Sellers,2023-04-01,1011,11935,0.08470883954754922,0.08405509641873278,628831.66,53267.6,52856.51,-411.09
Sellers,2023-05-01,1038,11835,0.08770595690747782,0.0879290168718245,628397.93,55114.24,55254.41,140.17
Sellers,2023-06-01,980,11497,0.08523962772897277,0.08581403895626608,625867.58,53348.72,53708.22,359.5
Sellers,2023-07-01,1051,11647,0.09023782948398729,0.08992132167504796,624422.0,56346.49,56148.85,-197.64
Sellers,2023-08-01,1019,12009,0.0848530268964943,0.08502293425513527,639891.37,54296.72,54405.44,108.72
Sellers,2023-09-01,1092,12737,0.08573447436602026,0.08552033668433047,628700.1,53901.27,53766.64,-134.63
Sellers,2023-10-01,1206,13993,0.0861859501179161,0.08580279571400343,625687.89,53925.51,53685.77,-239.74
Sellers,2023-11-01,1604,18469,0.08684823217283015,0.0877471201743462,626032.5,54369.82,54932.55,562.73
Sellers,2023-12-01,1541,17890,0.08613750698714366,0.08558802037976837,628823.11,54165.26,53819.73,-345.53
TFS,2022-01-01,1691,9645,0.17532400207361326,0.17535320996516046,635918.6799999999,111491.81,111510.38,18.57
TFS,2022-02-01,1710,10077,0.16969336111938077,0.1692443547369749,637899.84,108247.37,107960.95,-286.42
TFS,2022-03-01,1817,10723,0.16944884827007367,0.16870611358556958,622336.11,105454.14,104991.91,-462.23
TFS,2022-04-01,1925,11066,0.17395626242544732,0.17368001177281564,624561.6,108646.4,108473.87,-172.53
TFS,2022-05-01,1951,10885,0.17923748277446028,0.17858821317793028,631351.81,113161.91,112751.99,-409.92
TFS,2022-06-01,1870,10686,0.17499532098072243,0.17360939480670645,627204.64,109757.88,108888.62,-869.26
TFS,2022-07-01,1887,10930,0.172644098810613,0.17313337038283616,639583.42,110420.3,110733.23,312.93
TFS,2022-08-01,1995,11413,0.1748006659072987,0.1766190012161866,640508.62,111961.33,113125.99,1164.66
TFS,2022-09-01,2081,11978,0.17373518116547002,0.17266362339923896,645366.21,112122.82,111431.27,-691.55
TFS,2022-10-01,2178,12686,0.17168532240264858,0.17178342553541107,631854.63,108480.17,108542.15,61.98
TFS,2022-11-01,2971,17330,0.17143681477207154,0.1713807581394654,638463.4400000001,109456.14,109420.35,-35.79
TFS,2022-12-01,2874,16896,0.17009943181818182,0.1693633999866659,628843.48,106965.92,106503.07,-462.85
TFS,2023-01-01,1844,10411,0.17712035347228894,0.17782671182793894,631570.95,111864.07,112310.19,446.12
TFS,2023-02-01,1838,10814,0.16996486036619196,0.17133269570574028,633290.6,107637.15,108503.39,866.24
TFS,2023-03-01,1948,11465,0.16990841692106412,0.16880833530810216,625582.12,106291.67,105603.48,-688.19
TFS,2023-04-01,2080,11935,0.17427733556765815,0.17484664830119376,628831.66,109591.11,109949.11,358.0
TFS,2023-05-01,2027,11835,0.1712716518800169,0.17086610674132338,628397.93,107626.75,107371.91,-254.84
TFS,2023-06-01,1958,11497,0.17030529703400887,0.17034944260688473,625867.58,106588.56,106616.19,27.63
TFS,2023-07-01,2044,11647,0.17549583583755474,0.17565955390446852,624422.0,109583.46,109685.69,102.23
TFS,2023-08-01,2112,12009,0.17586809892580565,0.17551906756187818,639891.37,112536.48,112313.14,-223.34
TFS,2023-09-01,2251,12737,0.17672921410065165,0.1780595908893891,628700.1,111109.67,111946.08,836.41
TFS,2023-10-01,2445,13993,0.17473022225398413,0.17558307783507454,625687.89,109326.58,109860.21,533.63
TFS,2023-11-01,3142,18469,0.17012290865775082,0.16998754669987548,626032.5,106502.47,106417.73,-84.74
TFS,2023-12-01,3100,17890,0.1732811626607043,0.17258240493278482,628823.11,108963.2,108523.8,-439.4
Takealot,2022-01-01,4217,9645,0.4372213582166926,0.4372800644268982,635918.6799999999,278037.23,278074.56,37.33
Takealot,2022-02-01,4388,10077,0.4354470576560484,0.4357764601993188,637899.84,277771.61,277981.73,210.12
Takealot,2022-03-01,4775,10723,0.4453044856849762,0.4434846011190541,622336.11,277129.06,275996.48,-1132.58
Takealot,2022-04-01,4781,11066,0.432044099042111,0.4307611280216248,624561.6,269838.15,269036.86,-801.29
Takealot,2022-05-01,4652,10885,0.4273771244832338,0.42992762477676477,631351.81,269825.32,271435.58,1610.26
Takealot,2022-06-01,4653,10686,0.43542953396968,0.4368218383015363,627204.64,273103.42,273976.68,873.26
Takealot,2022-07-01,4692,10930,0.4292772186642269,0.42850098233364897,639583.42,274558.59,274062.12,-496.47
Takealot,2022-08-01,4882,11413,0.42775782002979057,0.4258466094076944,640508.62,273982.57,272758.42,-1224.15
Takealot,2022-09-01,5235,11978,0.43705126064451494,0.4369190858731717,645366.21,282058.12,281972.81,-85.31
Takealot,2022-10-01,5548,12686,0.4373324925114299,0.4375924303007066,631854.63,276330.56,276494.8,164.24
Takealot,2022-11-01,7605,17330,0.4388343912290825,0.44058949801027,638463.4400000001,280179.72,281300.29,1120.57
Takealot,2022-12-01,7358,16896,0.4354876893939394,0.43660411612962774,628843.48,273853.59,274555.65,702.06
Takealot,2023-01-01,4482,10411,0.43050619537028145,0.4309427555660147,631570.95,271895.21,272170.93,275.72
Takealot,2023-02-01,4709,10814,0.43545404105788793,0.43395691150485516,633290.6,275768.95,274820.83,-948.12
Takealot,2023-03-01,5070,11465,0.4422154382904492,0.44472813166484476,625582.12,276642.07,278213.97,1571.9
Takealot,2023-04-01,5213,11935,0.43678257226644324,0.43402020202020203,628831.66,274662.71,272925.64,-1737.07
Takealot,2023-05-01,5149,11835,0.43506548373468523,0.43406064376601644,628397.93,273394.25,272762.81,-631.44
Takealot,2023-06-01,5072,11497,0.4411585631034183,0.44096073747396797,625867.58,276106.84,275983.03,-123.81
Takealot,2023-07-01,5009,11647,0.4300678286253971,0.430420272127335,624422.0,268543.81,268763.89,220.08
Takealot,2023-08-01,5074,12009,0.4225164459988342,0.4218868872196001,639891.37,270364.63,269961.78,-402.85
Takealot,2023-09-01,5537,12737,0.4347177514328335,0.43559933446120713,628700.1,273307.09,273861.35,554.26
Takealot,2023-10-01,6137,13993,0.4385764310726792,0.43717292504605343,625687.89,274411.96,273533.81,-878.15
Takealot,2023-11-01,8021,18469,0.4342953056473009,0.4314679327521794,626032.5,271882.98,270112.95,-1770.03
Takealot,2023-12-01,7793,17890,0.43560648406931246,0.43575768495440587,628823.11,273919.42,274014.5,95.08
